Instance Name,Nominal Voltage,Internal Power,Switch Power,Leakage Power,Total Power
R[0]_5__XNOR2X4H7R_A_Y_AO31X4H7R_A0_A2_AOI222X4H7R_Y,1.2,1.306e-04,0.000e+00,3.858e-10,1.306e-04
out_7__reg_p_D_OAOI211X0P5H7R_Y_B0_NAND2X0P5H7R_Y_A_XOR2X0P5H7R_A_Y_XNOR2X3H7R_A_B_OAOI211X1P4H7R_Y_A0_NOR4X2H7R_Y_A_NOR3X1P4H7R_A_Y_XNOR3X3H7R_A,1.2,1.085e-04,0.000e+00,8.518e-10,1.085e-04
R[0]_5__XNOR2X4H7R_A_Y_AOI31X4H7R_A0,1.2,5.621e-05,0.000e+00,3.132e-10,5.621e-05
R[1]_5__MUX2X0P5H7R_B_Y_OAI21X0P5H7R_A1_Y_NOR3X1P4H7R_C_A_AOI211X2H7R_Y_B0_AOI221X4H7R_Y,1.2,5.370e-05,0.000e+00,3.213e-10,5.370e-05
out_7__reg_p_D_OAOI211X0P5H7R_Y_B0_NAND2X0P5H7R_Y_A_XOR2X0P5H7R_A_Y_XNOR2X3H7R_A,1.2,4.740e-05,0.000e+00,5.059e-10,4.740e-05
R[0]_0__$_XNOR__A_Y_$_AND__B_Y_$_AND__B_Y_$_NAND__B_Y_$_AND__A_B_$_OR__Y_B_$_DFF_P__Q_D_OAI211X1P4H7R_Y,1.2,4.704e-05,0.000e+00,1.007e-10,4.704e-05
R[0]_0__$_XNOR__A_Y_$_AND__B_Y_$_AND__B_Y_$_NAND__B_Y_$_AND__A_B_$_OR__Y_B_$_DFF_P__Q_D_$_MUX__Y_B_$_NAND__A_Y_AOI211X1P4H7R_Y_A1_MUX2X8H7R_Y_B_XOR2X0P5H7R_Y_B_OA211X4H7R_A1,1.2,4.694e-05,0.000e+00,3.267e-10,4.694e-05
R[0]_0__$_XNOR__A_Y_$_AND__B_Y_$_AND__B_Y_$_NAND__B_Y_$_AND__A_B_$_ANDNOT__B_A_$_SDFF_PN0__Q_D_$_MUX__S_Y_OA211X4H7R_Y,1.2,4.623e-05,0.000e+00,3.256e-10,4.623e-05
pc_1__$_XOR__B_Y_$_MUX__A_Y_$_MUX__A_Y_OR3X1H7R_Y,1.2,4.619e-05,0.000e+00,1.709e-10,4.619e-05
out_7__reg_p_D_OAOI211X0P5H7R_Y_B0_NAND2X0P5H7R_Y_A_XOR2X0P5H7R_A_Y_XNOR2X3H7R_A_B_OAOI211X1P4H7R_Y_A0_NOR4X2H7R_Y_A_NOR3X1P4H7R_A_Y_XNOR3X3H7R_A_Y_OAI211X6H7R_A1,1.2,3.980e-05,0.000e+00,3.282e-10,3.980e-05
