Instance Name,Nominal Voltage,Internal Power,Switch Power,Leakage Power,Total Power
count_21__reg_p_D_AOI21X2H7L_Y_A1_OR3X1P4H7L_Y,1.2,3.943e-05,0.000e+00,1.697e-09,3.943e-05
count_12__NAND4X0P5H7L_A_Y_OR4X1P4H7L_C,1.2,3.940e-05,0.000e+00,1.616e-09,3.941e-05
count_16__reg_p_D_NOR2X3H7L_Y_B_XNOR2X3H7L_Y,1.2,3.708e-05,0.000e+00,4.086e-09,3.708e-05
count_20__reg_p_D_AOI21X2H7L_Y_A1_OR3X1P4H7L_Y,1.2,3.691e-05,0.000e+00,1.699e-09,3.692e-05
count_19__reg_p_D_AOI21X1P4H7L_Y_A1_OR3X1H7L_Y,1.2,3.261e-05,0.000e+00,1.577e-09,3.261e-05
count_21__reg_p_D_AOI21X2H7L_Y,1.2,2.338e-05,0.000e+00,1.029e-09,2.338e-05
count_12__NAND4X0P5H7L_A_Y_OR4X1P4H7L_C_Y_BUFX7H7L_A,1.2,2.287e-05,0.000e+00,4.862e-09,2.288e-05
count_20__reg_p_D_AOI21X2H7L_Y,1.2,2.204e-05,0.000e+00,1.029e-09,2.204e-05
count_19__reg_p_D_AOI21X1P4H7L_Y,1.2,1.824e-05,0.000e+00,8.879e-10,1.824e-05
count_26__NOR4X0P5H7L_A_Y_NAND3X0P5H7L_A_Y_NOR3X3H7L_A_B_NAND4BX1P4H7L_Y,1.2,1.338e-05,0.000e+00,9.228e-10,1.338e-05
count_18__reg_p_D_AOI2XB1X1H7L_Y,1.2,1.307e-05,0.000e+00,1.565e-09,1.307e-05
count_3__NAND4X6H7L_D,1.2,1.234e-05,0.000e+00,1.108e-09,1.234e-05
count_17__reg_p_D_AOI2XB1X1H7L_Y,1.2,1.010e-05,0.000e+00,1.572e-09,1.010e-05
count_21__reg_p_D_AOI21X2H7L_Y_A0_OAI21X0P5H7L_Y,1.2,9.816e-06,0.000e+00,7.087e-10,9.817e-06
count_20__reg_p_D_AOI21X2H7L_Y_A0_OAI21X0P5H7L_Y,1.2,9.310e-06,0.000e+00,7.088e-10,9.310e-06
